idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,18,take,remove,0.6809999999999999,0.5091614723205566,874,61
1,lang,18,walk,trail,0.481,0.5724882483482361,563,171
2,lang,18,feed,starve,0.149,0.4021865427494049,120,2
3,lang,18,shine,polish,0.78,0.4875393509864807,102,36
4,lang,18,cheat,sneak,0.365,0.4198681116104126,3,35
5,lang,18,smell,sniff,0.7969999999999999,0.6188544034957886,101,29
6,lang,18,plow,dig,0.6639999999999999,0.4471171796321869,83,101
7,lang,18,believe,pretend,0.16599999999999998,0.4041697680950165,146,83
8,lang,18,tap,pat,0.697,0.435006320476532,24,17
9,lang,18,crunch,crack,0.365,0.4909723699092865,5,73
10,lang,18,erode,destroy,0.634,0.47030243277549744,1,20
11,lang,18,try,practice,0.465,0.5133839845657349,257,124
12,lang,18,tear,fold,0.066,0.5392681956291199,45,45
13,lang,18,replace,move,0.149,0.43466052412986755,28,138
14,lang,18,respond,ignore,0.08299999999999999,0.4412972927093506,10,22
15,lang,18,laugh,sing,0.199,0.5214517712593079,122,111
16,lang,18,attack,sneak,0.16599999999999998,0.41241326928138733,52,35
17,lang,18,descend,go,0.33199999999999996,0.4662729501724243,24,910
18,lang,18,miss,catch,0.0,0.49527430534362793,107,220
19,lang,18,feel,touch,0.78,0.5151581764221191,166,117
20,lang,18,connect,separate,0.149,0.44414040446281433,38,108
21,lang,18,decay,deteriorate,0.8130000000000001,0.4599000811576843,6,2
22,lang,18,protect,defend,0.78,0.7802131772041321,89,17
23,lang,18,describe,define,0.7969999999999999,0.5628426671028137,80,2
24,lang,18,drive,walk,0.149,0.6900536417961121,198,563
25,lang,18,build,grow,0.481,0.6619489192962646,127,113
26,lang,18,cover,protect,0.6809999999999999,0.501166045665741,181,89
27,lang,18,dislike,ignore,0.315,0.5536507964134216,4,22
28,lang,18,forget,recall,0.033,0.6083816289901733,111,14
29,lang,18,comprehend,learn,0.73,0.5430064797401428,2,131
30,lang,18,reflect,look,0.41500000000000004,0.5717825889587402,79,885
31,lang,18,defeat,beat,0.8470000000000001,0.5670225024223328,12,115
32,lang,18,know,inform,0.199,0.4646674394607544,288,3
33,lang,18,remind,repeat,0.5309999999999999,0.3576730787754059,59,6
34,lang,18,go,let,0.282,0.47589951753616333,910,258
35,lang,18,go,advance,0.6639999999999999,0.34298568964004517,910,15
36,lang,18,recommend,assist,0.41500000000000004,0.4610975384712219,28,30
37,lang,18,shake,shiver,0.631,0.2484729290008545,104,2
