idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,4,old,new,0.158,0.45518556237220764,1795,890
1,lang,4,smart,intelligent,0.9199999999999999,0.4149755835533142,119,15
2,lang,4,hard,difficult,0.877,0.565373957157135,387,112
3,lang,4,happy,cheerful,0.9550000000000001,0.49502718448638916,583,38
4,lang,4,hard,easy,0.095,0.46710264682769775,387,133
5,lang,4,fast,rapid,0.875,0.41979560256004333,165,26
6,lang,4,happy,glad,0.917,0.39733219146728516,583,145
7,lang,4,short,long,0.123,0.5714433193206787,188,869
8,lang,4,stupid,dumb,0.958,0.4023549258708954,47,23
9,lang,4,weird,strange,0.893,0.627397894859314,141,164
10,lang,4,wide,narrow,0.10300000000000001,0.45158299803733826,178,133
11,lang,4,bad,awful,0.842,0.4094463586807251,179,37
12,lang,4,easy,difficult,0.057999999999999996,0.5410012602806091,133,112
13,lang,4,bad,terrible,0.778,0.46562033891677856,179,88
14,lang,4,hard,simple,0.13799999999999998,0.26954638957977295,387,139
15,lang,4,smart,dumb,0.05500000000000001,0.2827436923980713,119,23
16,lang,4,insane,crazy,0.9570000000000001,0.6096398830413818,16,145
17,lang,4,happy,mad,0.095,0.329904168844223,583,103
18,lang,4,large,huge,0.9470000000000001,0.737168550491333,3327,376
19,lang,4,hard,tough,0.805,0.5370427370071411,387,105
20,lang,4,new,fresh,0.683,0.3602105975151062,890,303
21,lang,4,sharp,dull,0.06,0.2817528545856476,105,42
22,lang,4,quick,rapid,0.97,0.4222312569618225,150,26
23,lang,4,dumb,foolish,0.667,0.3121727705001831,23,4
24,lang,4,wonderful,terrific,0.8630000000000001,0.46547821164131165,192,29
25,lang,4,strange,odd,0.9019999999999999,0.5797843933105469,164,129
26,lang,4,happy,angry,0.128,0.49800676107406616,583,110
27,lang,4,narrow,broad,0.118,0.483914315700531,133,34
28,lang,4,simple,easy,0.9400000000000001,0.5202284455299377,139,133
29,lang,4,old,fresh,0.087,0.23513907194137573,1795,303
30,lang,4,apparent,obvious,0.8470000000000001,0.5990777611732483,38,45
31,lang,4,inexpensive,cheap,0.8720000000000001,0.6090312004089355,8,68
32,lang,4,nice,generous,0.5,0.31547579169273376,494,22
33,lang,4,weird,normal,0.072,0.28664520382881165,141,105
34,lang,4,weird,odd,0.9199999999999999,0.5006437301635742,141,129
35,lang,4,sad,funny,0.095,0.40886086225509644,142,189
36,lang,4,wonderful,great,0.805,0.5476886630058289,192,1194
37,lang,4,guilty,ashamed,0.638,0.3716152608394623,8,9
38,lang,4,beautiful,wonderful,0.65,0.5546213984489441,1052,192
39,lang,4,confident,sure,0.827,0.38641148805618286,34,399
40,lang,4,dumb,dense,0.727,0.1729660928249359,23,101
41,lang,4,large,big,0.9550000000000001,0.6372459530830383,3327,987
42,lang,4,nice,cruel,0.067,0.31497183442115784,494,5
43,lang,4,impatient,anxious,0.603,0.5307301878929138,20,73
44,lang,4,big,broad,0.673,0.29855093359947205,987,34
45,lang,4,strong,proud,0.317,0.29239165782928467,121,178
46,lang,4,restless,young,0.16,0.21167047321796417,22,2164
