idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,21,love,sex,0.6769999999999999,0.7221628427505493,464,42
1,lang,21,tiger,cat,0.735,0.7739400267601013,111,1566
2,lang,21,tiger,tiger,1.0,1.0,111,111
3,lang,21,book,paper,0.746,0.7156972289085388,396,444
4,lang,21,computer,keyboard,0.762,0.7859489321708679,694,280
5,lang,21,computer,internet,0.758,0.7498820424079895,694,73
6,lang,21,plane,car,0.577,0.6519439220428467,506,1323
7,lang,21,train,car,0.631,0.6549322605133057,1433,1323
8,lang,21,telephone,communication,0.75,0.741201639175415,108,19
9,lang,21,television,radio,0.6769999999999999,0.7805756330490112,241,106
10,lang,21,media,radio,0.742,0.7177966833114624,102,106
11,lang,21,drug,abuse,0.6849999999999999,0.7181398272514343,35,10
12,lang,21,bread,butter,0.619,0.7518455982208252,280,123
13,lang,21,cucumber,potato,0.592,0.7230554223060608,86,126
14,lang,21,doctor,nurse,0.7,0.8890637159347534,89,61
15,lang,21,professor,doctor,0.662,0.7413387894630432,102,89
16,lang,21,student,professor,0.6809999999999999,0.8331419229507446,132,102
17,lang,21,smart,student,0.462,0.5549784302711487,119,132
18,lang,21,smart,stupid,0.581,0.6399296522140503,119,47
19,lang,21,company,stock,0.708,0.7009910345077515,187,62
20,lang,21,stock,market,0.808,0.6730415225028992,62,259
21,lang,21,stock,phone,0.162,0.5297552943229675,62,873
22,lang,21,stock,cd,0.131,0.5825517177581787,62,92
23,lang,21,stock,jaguar,0.092,0.5831265449523926,62,7
24,lang,21,stock,egg,0.181,0.6135923266410828,62,208
25,lang,21,stock,live,0.373,0.7133414149284363,62,180
26,lang,21,stock,life,0.092,0.637343168258667,62,356
27,lang,21,book,library,0.746,0.7830354571342468,396,136
28,lang,21,bank,money,0.8119999999999999,0.6168796420097351,126,153
29,lang,21,wood,forest,0.773,0.6705657243728638,379,277
30,lang,21,money,cash,0.915,0.8595880270004272,153,64
31,lang,21,professor,cucumber,0.031,0.3572491407394409,102,86
32,lang,21,king,cabbage,0.023,0.5139584541320801,102,100
33,lang,21,king,queen,0.858,0.8705282211303711,102,108
34,lang,21,king,rook,0.592,0.21930676698684692,102,1
35,lang,21,bishop,rabbi,0.669,0.7862393856048584,5,33
36,lang,21,jerusalem,israel,0.8460000000000001,0.8454403877258301,1,4
37,lang,21,jerusalem,palestinian,0.765,0.48314914107322693,1,4
38,lang,21,holy,sex,0.162,0.6537463665008545,45,42
39,lang,21,fuck,sex,0.944,0.504468560218811,1,42
40,lang,21,football,soccer,0.9029999999999999,0.7923649549484253,191,335
41,lang,21,football,basketball,0.6809999999999999,0.7172093987464905,191,164
42,lang,21,football,tennis,0.663,0.6233958601951599,191,1161
43,lang,21,tennis,racket,0.756,0.7076547145843506,1161,210
44,lang,21,law,lawyer,0.8380000000000001,0.7305707335472107,109,8
45,lang,21,movie,star,0.738,0.6887965798377991,197,142
46,lang,21,movie,popcorn,0.619,0.6539551615715027,197,84
47,lang,21,movie,theater,0.792,0.7890254855155945,197,106
48,lang,21,physics,chemistry,0.735,0.7851942777633667,4,5
49,lang,21,space,chemistry,0.488,0.6154636144638062,204,5
50,lang,21,alcohol,chemistry,0.554,0.634978711605072,136,5
51,lang,21,vodka,gin,0.8460000000000001,0.7144295573234558,26,10
52,lang,21,vodka,brandy,0.8130000000000001,0.8327297568321228,26,4
53,lang,21,drink,car,0.304,0.6213281750679016,374,1323
54,lang,21,drink,ear,0.131,0.5451850891113281,374,139
55,lang,21,drink,mouth,0.596,0.588746190071106,374,340
56,lang,21,drink,eat,0.687,0.7905601859092712,374,417
57,lang,21,baby,mother,0.7849999999999999,0.7445973753929138,791,272
58,lang,21,drink,mother,0.265,0.5917476415634155,374,272
59,lang,21,car,automobile,0.8939999999999999,0.9202702641487122,1323,103
60,lang,21,gem,jewel,0.8960000000000001,0.8059484958648682,13,7
61,lang,21,journey,voyage,0.9289999999999999,0.8709076046943665,114,14
62,lang,21,boy,lad,0.883,0.7859567403793335,1272,13
63,lang,21,coast,shore,0.9099999999999999,0.8353520631790161,122,240
64,lang,21,asylum,madhouse,0.8869999999999999,0.4015730917453766,5,1
65,lang,21,magician,wizard,0.9019999999999999,0.8403676152229309,19,45
66,lang,21,midday,noon,0.9289999999999999,0.8832496404647827,29,42
67,lang,21,furnace,stove,0.8789999999999999,0.7035689353942871,17,256
68,lang,21,food,fruit,0.752,0.7881789207458496,1536,397
69,lang,21,bird,cock,0.71,0.6313251256942749,739,21
70,lang,21,bird,crane,0.738,0.6486278772354126,739,104
71,lang,21,tool,implement,0.646,0.7004770636558533,100,5
72,lang,21,brother,monk,0.627,0.6426517963409424,262,66
73,lang,21,crane,implement,0.269,0.5836568474769592,104,5
74,lang,21,lad,brother,0.446,0.7035689949989319,13,262
75,lang,21,journey,car,0.585,0.5914926528930664,114,1323
76,lang,21,monk,oracle,0.5,0.6566872000694275,66,8
77,lang,21,cemetery,woodland,0.20800000000000002,0.655996561050415,144,18
78,lang,21,food,rooster,0.442,0.5688778758049011,1536,75
79,lang,21,coast,hill,0.438,0.5557519793510437,122,307
80,lang,21,forest,graveyard,0.185,0.6448731422424316,277,104
81,lang,21,shore,woodland,0.308,0.5363945960998535,240,18
82,lang,21,monk,slave,0.092,0.5956310033798218,66,8
83,lang,21,coast,forest,0.315,0.5055129528045654,122,277
84,lang,21,lad,wizard,0.092,0.711215615272522,13,45
