idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,22,love,sex,0.6769999999999999,0.5833057761192322,464,42
1,lang,22,tiger,cat,0.735,0.6829665899276733,111,1566
2,lang,22,tiger,tiger,1.0,1.0,111,111
3,lang,22,book,paper,0.746,0.5640988945960999,396,444
4,lang,22,computer,keyboard,0.762,0.697009265422821,694,280
5,lang,22,computer,internet,0.758,0.670176088809967,694,73
6,lang,22,plane,car,0.577,0.6463037133216858,506,1323
7,lang,22,train,car,0.631,0.5889540910720825,1433,1323
8,lang,22,telephone,communication,0.75,0.6651676893234253,108,19
9,lang,22,television,radio,0.6769999999999999,0.7156237959861755,241,106
10,lang,22,media,radio,0.742,0.6012178659439087,102,106
11,lang,22,drug,abuse,0.6849999999999999,0.581723153591156,35,10
12,lang,22,bread,butter,0.619,0.7116442322731018,280,123
13,lang,22,cucumber,potato,0.592,0.6076033711433411,86,126
14,lang,22,doctor,nurse,0.7,0.8363342881202698,89,61
15,lang,22,professor,doctor,0.662,0.5733413100242615,102,89
16,lang,22,student,professor,0.6809999999999999,0.8119533658027649,132,102
17,lang,22,smart,student,0.462,0.38432520627975464,119,132
18,lang,22,smart,stupid,0.581,0.5258322358131409,119,47
19,lang,22,company,stock,0.708,0.6428255438804626,187,62
20,lang,22,stock,market,0.808,0.5670892596244812,62,259
21,lang,22,stock,phone,0.162,0.468874454498291,62,873
22,lang,22,stock,cd,0.131,0.5820816159248352,62,92
23,lang,22,stock,jaguar,0.092,0.4852292239665985,62,7
24,lang,22,stock,egg,0.181,0.5470989346504211,62,208
25,lang,22,stock,live,0.373,0.6037978529930115,62,180
26,lang,22,stock,life,0.092,0.5256381630897522,62,356
27,lang,22,book,library,0.746,0.6756234765052795,396,136
28,lang,22,bank,money,0.8119999999999999,0.46594634652137756,126,153
29,lang,22,wood,forest,0.773,0.6012105345726013,379,277
30,lang,22,money,cash,0.915,0.7823532223701477,153,64
31,lang,22,professor,cucumber,0.031,0.357235848903656,102,86
32,lang,22,king,cabbage,0.023,0.4438978433609009,102,100
33,lang,22,king,queen,0.858,0.8198896646499634,102,108
34,lang,22,king,rook,0.592,0.3379134237766266,102,1
35,lang,22,bishop,rabbi,0.669,0.5635004043579102,5,33
36,lang,22,jerusalem,israel,0.8460000000000001,0.8497622013092041,1,4
37,lang,22,jerusalem,palestinian,0.765,0.5838618874549866,1,4
38,lang,22,holy,sex,0.162,0.5597192645072937,45,42
39,lang,22,fuck,sex,0.944,0.7211323976516724,1,42
40,lang,22,football,soccer,0.9029999999999999,0.7268627285957336,191,335
41,lang,22,football,basketball,0.6809999999999999,0.7082491517066956,191,164
42,lang,22,football,tennis,0.663,0.559942901134491,191,1161
43,lang,22,tennis,racket,0.756,0.5260749459266663,1161,210
44,lang,22,law,lawyer,0.8380000000000001,0.6047331690788269,109,8
45,lang,22,movie,star,0.738,0.6028711795806885,197,142
46,lang,22,movie,popcorn,0.619,0.6130822896957397,197,84
47,lang,22,movie,theater,0.792,0.7024127244949341,197,106
48,lang,22,physics,chemistry,0.735,0.7382985353469849,4,5
49,lang,22,space,chemistry,0.488,0.5316435694694519,204,5
50,lang,22,alcohol,chemistry,0.554,0.5636355876922607,136,5
51,lang,22,vodka,gin,0.8460000000000001,0.652160108089447,26,10
52,lang,22,vodka,brandy,0.8130000000000001,0.7913213968276978,26,4
53,lang,22,drink,car,0.304,0.49026063084602356,374,1323
54,lang,22,drink,ear,0.131,0.3766852021217346,374,139
55,lang,22,drink,mouth,0.596,0.4714856445789337,374,340
56,lang,22,drink,eat,0.687,0.6591470241546631,374,417
57,lang,22,baby,mother,0.7849999999999999,0.586479663848877,791,272
58,lang,22,drink,mother,0.265,0.412532776594162,374,272
59,lang,22,car,automobile,0.8939999999999999,0.8527398705482483,1323,103
60,lang,22,gem,jewel,0.8960000000000001,0.7250743508338928,13,7
61,lang,22,journey,voyage,0.9289999999999999,0.8082547783851624,114,14
62,lang,22,boy,lad,0.883,0.6776314973831177,1272,13
63,lang,22,coast,shore,0.9099999999999999,0.7481167316436768,122,240
64,lang,22,asylum,madhouse,0.8869999999999999,0.4501813054084778,5,1
65,lang,22,magician,wizard,0.9019999999999999,0.7857151627540588,19,45
66,lang,22,midday,noon,0.9289999999999999,0.6598766446113586,29,42
67,lang,22,furnace,stove,0.8789999999999999,0.6588200330734253,17,256
68,lang,22,food,fruit,0.752,0.6733317971229553,1536,397
69,lang,22,bird,cock,0.71,0.5786941051483154,739,21
70,lang,22,bird,crane,0.738,0.5979631543159485,739,104
71,lang,22,tool,implement,0.646,0.6079248189926147,100,5
72,lang,22,brother,monk,0.627,0.5111693739891052,262,66
73,lang,22,crane,implement,0.269,0.45383498072624207,104,5
74,lang,22,lad,brother,0.446,0.5564480423927307,13,262
75,lang,22,journey,car,0.585,0.503041684627533,114,1323
76,lang,22,monk,oracle,0.5,0.5851024985313416,66,8
77,lang,22,cemetery,woodland,0.20800000000000002,0.5622174739837646,144,18
78,lang,22,food,rooster,0.442,0.4556523561477661,1536,75
79,lang,22,coast,hill,0.438,0.44555580615997314,122,307
80,lang,22,forest,graveyard,0.185,0.5952544212341309,277,104
81,lang,22,shore,woodland,0.308,0.4626508355140686,240,18
82,lang,22,monk,slave,0.092,0.5251262187957764,66,8
83,lang,22,coast,forest,0.315,0.4347737431526184,122,277
84,lang,22,lad,wizard,0.092,0.6931472420692444,13,45
85,lang,22,chord,smile,0.054000000000000006,0.4120258092880249,2,191
86,lang,22,glass,magician,0.20800000000000002,0.46900859475135803,920,19
87,lang,22,noon,string,0.054000000000000006,0.5330647230148315,42,119
88,lang,22,rooster,voyage,0.062,0.4071519076824188,75,14
89,lang,22,money,dollar,0.842,0.7172685861587524,153,67
90,lang,22,money,cash,0.908,0.7823532223701477,153,64
91,lang,22,money,currency,0.9039999999999999,0.6753624081611633,153,11
92,lang,22,money,wealth,0.827,0.5036141276359558,153,7
93,lang,22,money,property,0.757,0.421589195728302,153,108
94,lang,22,money,possession,0.729,0.34689784049987793,153,25
95,lang,22,money,bank,0.85,0.46594634652137756,153,126
96,lang,22,money,deposit,0.773,0.5540564060211182,153,7
97,lang,22,money,operation,0.331,0.3914054334163666,153,31
98,lang,22,tiger,jaguar,0.8,0.7965731620788574,111,7
99,lang,22,tiger,feline,0.8,0.6097505688667297,111,7
100,lang,22,tiger,carnivore,0.708,0.41112643480300903,111,1
101,lang,22,tiger,mammal,0.6849999999999999,0.6277821660041809,111,6
102,lang,22,tiger,animal,0.7,0.679588258266449,111,349
103,lang,22,tiger,organism,0.477,0.4921010434627533,111,1
104,lang,22,tiger,fauna,0.562,0.451621949672699,111,13
105,lang,22,tiger,zoo,0.587,0.5928795337677002,111,246
106,lang,22,psychology,anxiety,0.7,0.38497546315193176,1,7
107,lang,22,psychology,fear,0.6849999999999999,0.369975209236145,1,61
108,lang,22,psychology,depression,0.742,0.4667819142341614,1,10
109,lang,22,psychology,clinic,0.658,0.36528459191322327,1,21
110,lang,22,psychology,doctor,0.642,0.38463982939720154,1,89
111,lang,22,psychology,mind,0.769,0.3354175388813019,1,113
112,lang,22,psychology,health,0.7230000000000001,0.39321374893188477,1,71
113,lang,22,psychology,science,0.671,0.636562168598175,1,107
114,lang,22,psychology,discipline,0.558,0.4267992079257965,1,8
115,lang,22,planet,star,0.845,0.6018552184104919,56,142
116,lang,22,planet,constellation,0.806,0.5015643835067749,56,4
117,lang,22,planet,moon,0.808,0.6304283142089844,56,124
118,lang,22,planet,sun,0.8019999999999999,0.3472634553909302,56,479
119,lang,22,planet,galaxy,0.8109999999999999,0.6884310841560364,56,7
120,lang,22,planet,space,0.792,0.623314619064331,56,204
121,lang,22,cup,coffee,0.658,0.7356433868408203,352,416
122,lang,22,cup,tableware,0.6849999999999999,0.5084389448165894,352,3
123,lang,22,cup,article,0.24,0.4548776149749756,352,61
124,lang,22,cup,artifact,0.292,0.4864969253540039,352,23
125,lang,22,cup,object,0.369,0.47090473771095276,352,149
126,lang,22,cup,entity,0.215,0.40739381313323975,352,5
127,lang,22,cup,drink,0.725,0.6887201070785522,352,374
128,lang,22,cup,food,0.5,0.4438496232032776,352,1536
129,lang,22,cup,substance,0.192,0.5041808485984802,352,92
130,lang,22,cup,liquid,0.5900000000000001,0.5151351690292358,352,118
131,lang,22,jaguar,cat,0.742,0.6286249756813049,7,1566
132,lang,22,jaguar,car,0.727,0.5638949275016785,7,1323
133,lang,22,energy,secretary,0.181,0.46402403712272644,108,10
134,lang,22,secretary,senate,0.506,0.4943254590034485,10,3
135,lang,22,energy,laboratory,0.509,0.4968706965446472,108,14
136,lang,22,computer,laboratory,0.678,0.5609721541404724,694,14
137,lang,22,weapon,secret,0.606,0.5056689977645874,29,100
138,lang,22,investigation,effort,0.45899999999999996,0.4976004660129547,4,103
139,lang,22,news,report,0.8160000000000001,0.7521785497665405,140,43
140,lang,22,canyon,landscape,0.753,0.5829864740371704,101,158
141,lang,22,image,surface,0.45599999999999996,0.5106794834136963,560,190
142,lang,22,discovery,space,0.634,0.5751340985298157,21,204
143,lang,22,sign,recess,0.238,0.5233954191207886,2679,21
144,lang,22,wednesday,news,0.22200000000000003,0.4365374445915222,7,140
145,lang,22,computer,news,0.44699999999999995,0.5108278393745422,694,140
146,lang,22,territory,surface,0.534,0.5564233660697937,18,190
147,lang,22,atmosphere,landscape,0.369,0.6826840043067932,100,158
