idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,6,love,sex,0.6769999999999999,0.24511682987213135,464,42
1,lang,6,tiger,cat,0.735,0.4765564203262329,111,1566
2,lang,6,tiger,tiger,1.0,1.0,111,111
3,lang,6,book,paper,0.746,0.40335431694984436,396,444
4,lang,6,computer,keyboard,0.762,0.395643413066864,694,280
5,lang,6,computer,internet,0.758,0.3662971556186676,694,73
6,lang,6,plane,car,0.577,0.5397167205810547,506,1323
7,lang,6,train,car,0.631,0.47415125370025635,1433,1323
8,lang,6,telephone,communication,0.75,0.33593329787254333,108,19
9,lang,6,television,radio,0.6769999999999999,0.6062217950820923,241,106
10,lang,6,media,radio,0.742,0.3685862123966217,102,106
11,lang,6,drug,abuse,0.6849999999999999,0.27863380312919617,35,10
12,lang,6,bread,butter,0.619,0.47104567289352417,280,123
13,lang,6,cucumber,potato,0.592,0.40135034918785095,86,126
14,lang,6,doctor,nurse,0.7,0.5680925846099854,89,61
15,lang,6,professor,doctor,0.662,0.46921202540397644,102,89
16,lang,6,student,professor,0.6809999999999999,0.5462883114814758,132,102
17,lang,6,smart,student,0.462,0.17494431138038635,119,132
18,lang,6,smart,stupid,0.581,0.3401845395565033,119,47
19,lang,6,company,stock,0.708,0.21355921030044556,187,62
20,lang,6,stock,market,0.808,0.208785742521286,62,259
21,lang,6,stock,phone,0.162,0.1512332558631897,62,873
22,lang,6,stock,cd,0.131,0.08029698580503464,62,92
23,lang,6,stock,jaguar,0.092,0.08787641674280167,62,7
24,lang,6,stock,egg,0.181,0.1410474330186844,62,208
25,lang,6,stock,live,0.373,0.1657874435186386,62,180
26,lang,6,stock,life,0.092,0.14028428494930267,62,356
27,lang,6,book,library,0.746,0.35719022154808044,396,136
28,lang,6,bank,money,0.8119999999999999,0.22698159515857697,126,153
29,lang,6,wood,forest,0.773,0.42831727862358093,379,277
30,lang,6,money,cash,0.915,0.574551522731781,153,64
31,lang,6,professor,cucumber,0.031,0.1759374737739563,102,86
32,lang,6,king,cabbage,0.023,0.22532394528388977,102,100
33,lang,6,king,queen,0.858,0.7432096004486084,102,108
34,lang,6,king,rook,0.592,0.1846935749053955,102,1
35,lang,6,bishop,rabbi,0.669,0.35874804854393005,5,33
36,lang,6,jerusalem,israel,0.8460000000000001,0.779068648815155,1,4
37,lang,6,jerusalem,palestinian,0.765,0.6253767013549805,1,4
38,lang,6,holy,sex,0.162,0.16203680634498596,45,42
39,lang,6,fuck,sex,0.944,0.4273686110973358,1,42
40,lang,6,football,soccer,0.9029999999999999,0.6269679069519043,191,335
41,lang,6,football,basketball,0.6809999999999999,0.6320204734802246,191,164
42,lang,6,football,tennis,0.663,0.48943546414375305,191,1161
43,lang,6,tennis,racket,0.756,0.2606467604637146,1161,210
44,lang,6,law,lawyer,0.8380000000000001,0.3358149230480194,109,8
45,lang,6,movie,star,0.738,0.24710071086883545,197,142
46,lang,6,movie,popcorn,0.619,0.34252914786338806,197,84
47,lang,6,movie,theater,0.792,0.35864683985710144,197,106
48,lang,6,physics,chemistry,0.735,0.5049002170562744,4,5
49,lang,6,space,chemistry,0.488,0.20255964994430542,204,5
50,lang,6,alcohol,chemistry,0.554,0.2822311818599701,136,5
51,lang,6,vodka,gin,0.8460000000000001,0.5178227424621582,26,10
52,lang,6,vodka,brandy,0.8130000000000001,0.5025913119316101,26,4
53,lang,6,drink,car,0.304,0.3150070905685425,374,1323
54,lang,6,drink,ear,0.131,0.09302771091461182,374,139
55,lang,6,drink,mouth,0.596,0.19276320934295654,374,340
56,lang,6,drink,eat,0.687,0.5159706473350525,374,417
57,lang,6,baby,mother,0.7849999999999999,0.4286072850227356,791,272
58,lang,6,drink,mother,0.265,0.1806250959634781,374,272
59,lang,6,car,automobile,0.8939999999999999,0.48906439542770386,1323,103
60,lang,6,gem,jewel,0.8960000000000001,0.429756760597229,13,7
61,lang,6,journey,voyage,0.9289999999999999,0.6461330056190491,114,14
62,lang,6,boy,lad,0.883,0.4160519242286682,1272,13
63,lang,6,coast,shore,0.9099999999999999,0.5854377746582031,122,240
64,lang,6,asylum,madhouse,0.8869999999999999,0.2930814027786255,5,1
65,lang,6,magician,wizard,0.9019999999999999,0.49281045794487,19,45
66,lang,6,midday,noon,0.9289999999999999,0.49821606278419495,29,42
67,lang,6,furnace,stove,0.8789999999999999,0.4106729030609131,17,256
68,lang,6,food,fruit,0.752,0.5103706121444702,1536,397
69,lang,6,bird,cock,0.71,0.23650681972503662,739,21
70,lang,6,bird,crane,0.738,0.293495237827301,739,104
71,lang,6,tool,implement,0.646,0.3509100377559662,100,5
72,lang,6,brother,monk,0.627,0.2965523302555084,262,66
73,lang,6,crane,implement,0.269,0.15329614281654358,104,5
74,lang,6,lad,brother,0.446,0.25036799907684326,13,262
75,lang,6,journey,car,0.585,0.22360759973526,114,1323
76,lang,6,monk,oracle,0.5,0.32640978693962097,66,8
77,lang,6,cemetery,woodland,0.20800000000000002,0.36465150117874146,144,18
78,lang,6,food,rooster,0.442,0.20842143893241882,1536,75
79,lang,6,coast,hill,0.438,0.287434846162796,122,307
80,lang,6,forest,graveyard,0.185,0.3479847311973572,277,104
81,lang,6,shore,woodland,0.308,0.16064965724945068,240,18
82,lang,6,monk,slave,0.092,0.30022430419921875,66,8
83,lang,6,coast,forest,0.315,0.24379155039787292,122,277
84,lang,6,lad,wizard,0.092,0.2708298861980438,13,45
85,lang,6,chord,smile,0.054000000000000006,0.1988564282655716,2,191
86,lang,6,glass,magician,0.20800000000000002,0.145755797624588,920,19
87,lang,6,noon,string,0.054000000000000006,0.23564513027668,42,119
88,lang,6,rooster,voyage,0.062,0.14821527898311615,75,14
89,lang,6,money,dollar,0.842,0.42730826139450073,153,67
90,lang,6,money,cash,0.908,0.574551522731781,153,64
91,lang,6,money,currency,0.9039999999999999,0.4409613311290741,153,11
92,lang,6,money,wealth,0.827,0.4631362557411194,153,7
93,lang,6,money,property,0.757,0.24392269551753998,153,108
94,lang,6,money,possession,0.729,0.13659219443798065,153,25
95,lang,6,money,bank,0.85,0.22698159515857697,153,126
96,lang,6,money,deposit,0.773,0.2699818015098572,153,7
97,lang,6,money,operation,0.331,0.14835244417190552,153,31
98,lang,6,tiger,jaguar,0.8,0.53902667760849,111,7
99,lang,6,tiger,feline,0.8,0.26880332827568054,111,7
100,lang,6,tiger,carnivore,0.708,0.165604829788208,111,1
101,lang,6,tiger,mammal,0.6849999999999999,0.3712840974330902,111,6
102,lang,6,tiger,animal,0.7,0.3995967209339142,111,349
103,lang,6,tiger,organism,0.477,0.2443692982196808,111,1
104,lang,6,tiger,fauna,0.562,0.2768101096153259,111,13
105,lang,6,tiger,zoo,0.587,0.36942246556282043,111,246
106,lang,6,psychology,anxiety,0.7,0.2539398670196533,1,7
107,lang,6,psychology,fear,0.6849999999999999,0.16723386943340302,1,61
108,lang,6,psychology,depression,0.742,0.27768340706825256,1,10
109,lang,6,psychology,clinic,0.658,0.1943425089120865,1,21
110,lang,6,psychology,doctor,0.642,0.2650376260280609,1,89
111,lang,6,psychology,mind,0.769,0.1563219428062439,1,113
112,lang,6,psychology,health,0.7230000000000001,0.2039278894662857,1,71
113,lang,6,psychology,science,0.671,0.3812052607536316,1,107
114,lang,6,psychology,discipline,0.558,0.1901775449514389,1,8
115,lang,6,planet,star,0.845,0.20494906604290009,56,142
116,lang,6,planet,constellation,0.806,0.1650419384241104,56,4
117,lang,6,planet,moon,0.808,0.36851704120635986,56,124
118,lang,6,planet,sun,0.8019999999999999,0.21131734549999237,56,479
119,lang,6,planet,galaxy,0.8109999999999999,0.37592095136642456,56,7
120,lang,6,planet,space,0.792,0.2393372356891632,56,204
121,lang,6,cup,coffee,0.658,0.3413692116737366,352,416
122,lang,6,cup,tableware,0.6849999999999999,0.3045169711112976,352,3
