idx,modality,layer,word1,word2,hum-sim,model-sim,freqw1,freqw2
0,lang,34,love,sex,0.6769999999999999,0.7379114627838135,464,42
1,lang,34,tiger,cat,0.735,0.8068509101867676,111,1566
2,lang,34,tiger,tiger,1.0,1.0,111,111
3,lang,34,book,paper,0.746,0.7779551148414612,396,444
4,lang,34,computer,keyboard,0.762,0.8373115062713623,694,280
5,lang,34,computer,internet,0.758,0.8167634606361389,694,73
6,lang,34,plane,car,0.577,0.7668453454971313,506,1323
7,lang,34,train,car,0.631,0.7427800893783569,1433,1323
8,lang,34,telephone,communication,0.75,0.7717830538749695,108,19
9,lang,34,television,radio,0.6769999999999999,0.8081305623054504,241,106
10,lang,34,media,radio,0.742,0.7780089378356934,102,106
11,lang,34,drug,abuse,0.6849999999999999,0.7047146558761597,35,10
12,lang,34,bread,butter,0.619,0.8544309139251709,280,123
13,lang,34,cucumber,potato,0.592,0.7905480265617371,86,126
14,lang,34,doctor,nurse,0.7,0.9188454151153564,89,61
15,lang,34,professor,doctor,0.662,0.7382545471191406,102,89
16,lang,34,student,professor,0.6809999999999999,0.8961392045021057,132,102
17,lang,34,smart,student,0.462,0.574938952922821,119,132
18,lang,34,smart,stupid,0.581,0.6822795867919922,119,47
19,lang,34,company,stock,0.708,0.730599582195282,187,62
20,lang,34,stock,market,0.808,0.7160477638244629,62,259
21,lang,34,stock,phone,0.162,0.6204835176467896,62,873
22,lang,34,stock,cd,0.131,0.6807413697242737,62,92
23,lang,34,stock,jaguar,0.092,0.637513279914856,62,7
24,lang,34,stock,egg,0.181,0.6861831545829773,62,208
25,lang,34,stock,live,0.373,0.7023468017578125,62,180
26,lang,34,stock,life,0.092,0.6778744459152222,62,356
27,lang,34,book,library,0.746,0.8394715189933777,396,136
28,lang,34,bank,money,0.8119999999999999,0.7010762691497803,126,153
29,lang,34,wood,forest,0.773,0.8101822733879089,379,277
30,lang,34,money,cash,0.915,0.8956556916236877,153,64
31,lang,34,professor,cucumber,0.031,0.5881085991859436,102,86
32,lang,34,king,cabbage,0.023,0.6588123440742493,102,100
33,lang,34,king,queen,0.858,0.9059041738510132,102,108
34,lang,34,king,rook,0.592,0.3134785294532776,102,1
35,lang,34,bishop,rabbi,0.669,0.6982995867729187,5,33
36,lang,34,jerusalem,israel,0.8460000000000001,0.8265050053596497,1,4
37,lang,34,jerusalem,palestinian,0.765,0.41654831171035767,1,4
38,lang,34,holy,sex,0.162,0.7048982977867126,45,42
39,lang,34,fuck,sex,0.944,0.6528794169425964,1,42
40,lang,34,football,soccer,0.9029999999999999,0.8257845640182495,191,335
41,lang,34,football,basketball,0.6809999999999999,0.7877621650695801,191,164
42,lang,34,football,tennis,0.663,0.6895495057106018,191,1161
43,lang,34,tennis,racket,0.756,0.7406114339828491,1161,210
44,lang,34,law,lawyer,0.8380000000000001,0.7677930593490601,109,8
45,lang,34,movie,star,0.738,0.7781763076782227,197,142
46,lang,34,movie,popcorn,0.619,0.7671495079994202,197,84
47,lang,34,movie,theater,0.792,0.8319933414459229,197,106
48,lang,34,physics,chemistry,0.735,0.7563683986663818,4,5
49,lang,34,space,chemistry,0.488,0.6226810216903687,204,5
50,lang,34,alcohol,chemistry,0.554,0.6336139440536499,136,5
51,lang,34,vodka,gin,0.8460000000000001,0.7877416610717773,26,10
52,lang,34,vodka,brandy,0.8130000000000001,0.8522059321403503,26,4
53,lang,34,drink,car,0.304,0.6996679306030273,374,1323
54,lang,34,drink,ear,0.131,0.5995699763298035,374,139
55,lang,34,drink,mouth,0.596,0.6331523656845093,374,340
56,lang,34,drink,eat,0.687,0.7791526317596436,374,417
57,lang,34,baby,mother,0.7849999999999999,0.7955132722854614,791,272
58,lang,34,drink,mother,0.265,0.6407984495162964,374,272
59,lang,34,car,automobile,0.8939999999999999,0.9118150472640991,1323,103
60,lang,34,gem,jewel,0.8960000000000001,0.8039516806602478,13,7
61,lang,34,journey,voyage,0.9289999999999999,0.873226523399353,114,14
62,lang,34,boy,lad,0.883,0.7886927723884583,1272,13
63,lang,34,coast,shore,0.9099999999999999,0.8704481720924377,122,240
64,lang,34,asylum,madhouse,0.8869999999999999,0.48692262172698975,5,1
65,lang,34,magician,wizard,0.9019999999999999,0.8284322619438171,19,45
66,lang,34,midday,noon,0.9289999999999999,0.717323362827301,29,42
67,lang,34,furnace,stove,0.8789999999999999,0.8354449272155762,17,256
68,lang,34,food,fruit,0.752,0.8110202550888062,1536,397
69,lang,34,bird,cock,0.71,0.6496723890304565,739,21
70,lang,34,bird,crane,0.738,0.7541249990463257,739,104
71,lang,34,tool,implement,0.646,0.6816444993019104,100,5
72,lang,34,brother,monk,0.627,0.6812455058097839,262,66
73,lang,34,crane,implement,0.269,0.6205486059188843,104,5
74,lang,34,lad,brother,0.446,0.7197188138961792,13,262
75,lang,34,journey,car,0.585,0.6436417698860168,114,1323
76,lang,34,monk,oracle,0.5,0.6092910170555115,66,8
77,lang,34,cemetery,woodland,0.20800000000000002,0.7378249168395996,144,18
78,lang,34,food,rooster,0.442,0.6522531509399414,1536,75
